Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
PTN,Palatin Technologies Inc. Common Stock,$0.745,0.0016,0.215%,171375559.00,United States,,2891422,Health Care,Major Pharmaceuticals
PW,Power REIT (MD) Common Stock,$37.69,0.06,0.159%,124359399.00,United States,,18407,Consumer Services,Real Estate Investment Trusts
PW^A,Power REIT 7.75% Series A Cumulative Perpetual Preferred Stock,$26.13,0.13,0.50%,,United States,,221,,
PZG,Paramount Gold Nevada Corp. Common Stock,$1.10,-0.01,-0.901%,39849201.00,United States,2015,546560,Basic Industries,Precious Metals
RCG,RENN Fund Inc Common Stock,$2.66,0.03,1.141%,15832203.00,United States,,60163,,
REI,Ring Energy Inc. Common Stock,$2.96,0.00,0.00%,241739056.00,United States,,4606939,Energy,Oil & Gas Production
REPX,Riley Exploration Permian Inc. Common Stock,$26.82,0.13,0.487%,477138957.00,United States,,30346,Energy,Oil & Gas Production
RHE,Regional Health Properties Inc. Common Stock,$5.50,-0.18,-3.169%,9285205.00,,2017,36294,Consumer Services,Real Estate
RHE^A,Regional Health Properties Inc. 10.875% Series A Cumulative Redeemable Preferred Stock,$2.79,0.12,4.494%,,,,245,,
RLGT,Radiant Logistics Inc. Common Stock,$7.16,-0.07,-0.968%,357767579.00,United States,,466865,Transportation,Oil Refining/Marketing
RMED,Ra Medical Systems Inc. Common Stock,$6.18,0.01,0.162%,19921675.00,,2018,112568,Health Care,Medical/Dental Instruments
RVP,Retractable Technologies Inc. Common Stock,$13.65,0.85,6.641%,461596645.00,United States,,726400,Health Care,Medical/Dental Instruments
SACC,Sachem Capital Corp. 6.875% Notes due 2024,$25.15,-0.12,-0.475%,0.00,United States,2019,4337,Consumer Services,Real Estate Investment Trusts
SACH,Sachem Capital Corp. Common Shares,$4.81,0.09,1.907%,106420293.00,United States,2017,155697,Consumer Services,Real Estate Investment Trusts
SCCB,Sachem Capital Corp. 7.125% Notes due 2024,$25.55,-0.1044,-0.407%,0.00,United States,2019,3695,Consumer Services,Real Estate Investment Trusts
SCCC,Sachem Capital Corp. 7.75% Notes due 2025,$25.44,-0.34,-1.319%,0.00,United States,2020,5640,Consumer Services,Real Estate Investment Trusts
SDPI,Superior Drilling Products Inc. Common Stock,$1.01,-0.04,-3.81%,25873661.00,,2014,452399,Energy,Metal Fabrications
SEB,Seaboard Corporation Common Stock,$3748.75,3.12,0.083%,4351470276.00,United States,1996,1089,Consumer Services,Farming/Seeds/Milling
SENS,Senseonics Holdings Inc. Common Stock,$3.17,-0.15,-4.518%,1197889956.00,United States,,35723808,Capital Goods,Industrial Machinery/Components
SIF,SIFCO Industries Inc. Common Stock,$12.57,1.69,15.533%,74907509.00,United States,,135604,Capital Goods,Aerospace
SILV,SilverCrest Metals Inc. Common Shares,$8.13,0.01,0.123%,1173630247.00,,2018,989502,Basic Industries,Precious Metals
SIM,Grupo Simec S.A.B. de C.V. American Depositary Shares,$13.2261,0.4761,3.734%,2194250607.00,Mexico,1993,1236,Basic Industries,Steel/Iron Ore
SMTS,Sierra Metals Inc. Common Stock,$2.93,0.00,0.00%,477004000.00,,,342912,Basic Industries,Precious Metals
SNMP,Evolve Transition Infrastructure LP Common Stock,$1.12,0.0411,3.809%,61235149.00,United States,,252400,Energy,Oil & Gas Production
SSY,SunLink Health Systems Inc. Common Stock,$1.8301,0.0801,4.577%,12626447.00,United States,,162514,Health Care,Hospital/Nursing Management
STXS,Stereotaxis Inc. Common Stock,$7.34,0.10,1.381%,540885980.00,United States,,277218,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SVM,Silvercorp Metals Inc. Common Shares,$5.30,0.02,0.379%,929398524.00,,,987238,Basic Industries,Precious Metals
SVT,Servotronics Inc. Common Stock,$8.70,-0.09,-1.024%,21649315.00,United States,,379,Capital Goods,Industrial Machinery/Components
SYN,Synthetic Biologics Inc. Common Stock,$0.9187,0.2105,29.723%,119113658.00,United States,,117097820,Health Care,Major Pharmaceuticals
TGB,Taseko Mines Ltd. Common Stock,$1.83,-0.01,-0.543%,517946774.00,Canada,,6000075,Basic Industries,Precious Metals
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),$1.23,-0.02,-1.60%,239737066.00,Canada,,198360,Basic Industries,Precious Metals
TKAT,Takung Art Co. Ltd. Common Stock,$4.09,0.16,4.071%,46099940.00,,,800794,Consumer Services,Other Specialty Stores
TMBR,Timber Pharmaceuticals Inc. Common Stock,$2.48,-1.07,-30.141%,29385597.00,United States,2015,39646645,Health Care,Major Pharmaceuticals
TMP,Tompkins Financial Corporation Common Stock,$92.36,1.50,1.651%,1383536637.00,United States,,33731,Finance,Major Banks
TMQ,Trilogy Metals Inc. Common Stock,$2.21,-0.03,-1.339%,318650461.00,Canada,,235521,Basic Industries,Precious Metals
TPHS,Trinity Place Holdings Inc. Common Stock,$2.33,0.16,7.373%,74961009.00,,,41416,Consumer Services,Building operators
TRT,Trio-Tech International Common Stock,$5.16,0.20,4.032%,19146464.00,United States,,17094,Technology,Industrial Machinery/Components
TRX,Tanzanian Gold Corporation Common Stock,$0.6813,0.0187,2.822%,170736665.00,Canada,,3362281,Basic Industries,Precious Metals
UAMY,United States Antimony Corporation Common Stock,$1.34,0.00,0.00%,137752134.00,United States,,3683011,Capital Goods,Metal Fabrications
UAVS,AgEagle Aerial Systems Inc. Common Stock,$8.66,0.19,2.243%,509221622.00,United States,,2482529,Capital Goods,Aerospace
UEC,Uranium Energy Corp. Common Stock,$2.69,0.28,11.618%,535468460.00,Canada,,7851735,Basic Industries,Precious Metals
UFAB,Unique Fabricating Inc. Common Stock,$6.604,-0.046,-0.692%,64581487.00,United States,2015,3836,Capital Goods,Auto Parts:O.E.M.
URG,Ur Energy Inc Common Shares (Canada),$1.17,0.03,2.632%,220979421.00,Canada,,1733594,Basic Industries,Precious Metals
USAS,Americas Gold and Silver Corporation Common Shares no par value,$2.61,0.04,1.556%,334989729.00,,2017,572821,Basic Industries,Precious Metals
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,$32.08,0.10,0.313%,1786757835.00,United States,2004,199185,,
UUU,Universal Security Instruments Inc. Common Stock,$6.97,-0.15,-2.107%,16120822.00,United States,,144256,Technology,Electronic Components
UUUU,Energy Fuels Inc Ordinary Shares (Canada),$5.92,0.19,3.316%,820782390.00,,,3554163,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
VCF,Delaware Investments Colorado Municipal Income Fund Inc  Common Stock,$14.4329,-0.0671,-0.463%,69813381.00,United States,1993,3590,,
VFL,Delaware Investments National Municipal Income Fund Common Stock,$13.00,-0.04,-0.307%,58869759.00,United States,1993,7469,,
VGZ,Vista Gold Corp Common Stock,$1.02,-0.01,-0.971%,105445258.00,United States,,219347,Basic Industries,Precious Metals
VHAQ,Viveon Health Acquisition Corp. Common Stock,$9.9275,0.0475,0.481%,249738672.00,,2021,713568,Finance,Business Services
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),$11.84,-0.10,-0.838%,525595964.00,United States,,267442,,
VMM,Delaware Investments Minnesota Municipal Income Fund II Inc. Common Stock,$13.18,0.02,0.152%,151635571.00,United States,1993,5571,,
VNRX,VolitionRX Limited Common Stock,$4.01,0.01,0.25%,211427852.00,Singapore,2015,223290,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
VOLT,Volt Information Sciences Inc. Common Stock,$3.15,0.24,8.247%,68470211.00,United States,,274978,Technology,Professional Services
WLMS,Williams Industrial Services Group Inc. Common Stock,$3.865,0.03,0.782%,97925348.00,,2021,162655,Basic Industries,Military/Government/Technical
WRN,Western Copper and Gold Corporation Common Stock,$1.41,-0.07,-4.73%,191192665.00,Canada,2011,446960,Basic Industries,Precious Metals
WTT,Wireless Telecom Group  Inc. Common Stock,$1.89,0.17,9.884%,41003569.00,United States,,175166,Capital Goods,Telecommunications Equipment
WYY,WidePoint Corporation Common Stock,$11.40,-0.23,-1.978%,96429568.00,United States,,62969,Technology,EDP Services
XPL,Solitario Zinc Corp. Common Stock,$0.99,0.001,0.101%,57795325.00,United States,,1684400,Basic Industries,Precious Metals
XTNT,Xtant Medical Holdings Inc. Common Stock,$2.84,-0.06,-2.069%,246248692.00,United States,,190279,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
XXII,22nd Century Group Inc. Common Stock,$3.05,0.35,12.963%,423520539.00,United States,,8367117,Consumer Non-Durables,Farming/Seeds/Milling
YCBD,cbdMD Inc. Common Stock,$4.49,0.09,2.045%,234769137.00,United States,2017,734735,Consumer Non-Durables,Package Goods/Cosmetics
YCBD^A,cbdMD Inc. 8.0% Series A Cumulative Convertible Preferred Stock,$8.968,0.008,0.089%,,United States,,1435,,
ZDGE,Zedge Inc. Class B Common Stock ,$10.27,0.27,2.70%,128619292.00,,2016,155965,Technology,Computer Software: Prepackaged Software
ZOM,Zomedica Corp. Common Shares,$2.29,0.19,9.048%,2225919635.00,United States,2017,101183390,Health Care,Major Pharmaceuticals
