Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ELMD,Electromed Inc. Common Stock,$12.13,0.08,0.664%,104743096.00,United States,2011,49028,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EMAN,eMagin Corporation Common Stock,$4.55,0.05,1.111%,307123189.00,United States,,791686,Technology,Semiconductors
EMX,EMX Royalty Corporation Common Shares (Canada),$3.26,-0.01,-0.306%,274940120.00,Canada,,239037,Basic Industries,Precious Metals
ENSV,Enservco Corporation Common Stock,$2.06,0.00,0.00%,21155061.00,United States,,247416,Energy,Oilfield Services/Equipment
ENX,Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$12.00,-0.05,-0.415%,217419528.00,United States,2002,33531,,
EPM,Evolution Petroleum Corporation Inc. Common Stock,$4.10,-0.05,-1.205%,137311255.00,United States,,125838,Energy,Oil & Gas Production
EQX,Equinox Gold Corp. Common Shares,$8.38,-0.03,-0.357%,2030929922.00,Canada,,1079962,Basic Industries,Precious Metals
ERC,Wells Fargo Multi-Sector Income Fund Common Stock no par value,$12.36,-0.04,-0.323%,347712608.00,United States,2003,79306,,
ERH,Wells Fargo Utilities and High Income Fund,$12.94,0.03,0.232%,120019341.00,,2004,11959,,
ESP,Espey Mfg. & Electronics Corp. Common Stock,$15.26,-0.29,-1.865%,41242180.00,United States,,12350,Capital Goods,Industrial Machinery/Components
EVBN,Evans Bancorp Inc. Common Stock,$36.04,0.81,2.299%,194044370.00,United States,,27941,Finance,Major Banks
EVI,EVI Industries Inc.  Common Stock,$37.55,1.55,4.306%,460039657.00,United States,,9525,Consumer Services,Other Consumer Services
EVM,Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$11.43,0.04,0.351%,285685295.00,United States,2002,112609,,
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,$12.66,0.00,0.00%,1470421248.00,United States,2003,363930,,
EVY,Eaton Vance New York Municipal Income Trust Shares of Beneficial Interest,$14.06,-0.07,-0.495%,75949702.00,United States,1999,8098,,
EXN,Excellon Resources Inc. Common Shares,$3.09,-0.01,-0.323%,99093210.00,,2020,112366,Basic Industries,Precious Metals
FAX,Aberdeen Asia-Pacific Income Fund Inc Common Stock,$4.20,-0.07,-1.639%,1040322230.00,United States,1986,3248589,,
FCO,Aberdeen Global Income Fund Inc. Common Stock,$8.09,-0.03,-0.369%,70633353.00,United States,1992,39740,,
FEN,First Trust Energy Income and Growth Fund,$13.13,0.08,0.613%,259590144.00,United States,2004,55998,,
FRD,Friedman Industries Inc. Common Stock,$8.66,0.13,1.524%,59804652.00,United States,,96401,Capital Goods,Steel/Iron Ore
FSI,Flexible Solutions International Inc. Common Stock (CDA),$3.99,0.09,2.308%,48839775.00,Canada,,27906,Basic Industries,Major Chemicals
FSP,Franklin Street Properties Corp. Common Stock,$6.59,0.22,3.454%,707292831.00,United States,,435840,Consumer Services,Real Estate Investment Trusts
FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,$9.26,-0.09,-0.963%,279085612.00,United States,2003,188521,,
FTSI,FTS International Inc. Class A Common Stock,$25.79,1.24,5.051%,360801326.00,United States,2020,110053,Energy,Oilfield Services/Equipment
FURY,Fury Gold Mines Limited Common Shares,$1.30,-0.01,-0.763%,153171014.00,,2020,298011,Basic Industries,Precious Metals
GAU,Galiano Gold Inc.,$1.26,0.10,8.621%,282527938.00,Canada,,2298118,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
GBR,New Concept Energy Inc Common Stock,$5.78,-0.20,-3.344%,29662584.00,United States,,822547,Energy,Oil & Gas Production
GDP,Goodrich Petroleum Corporation Common Stock,$10.69,0.14,1.327%,135290342.00,United States,2017,34217,Energy,Oil & Gas Production
GGN,GAMCO Global Gold Natural Resources & Income Trust,$3.48,0.02,0.578%,543311631.00,United States,2005,984039,,
GGN^B,GAMCO Global Gold Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference,$25.345,-0.0149,-0.059%,,United States,,1200,,
GGO,The Gabelli Go Anywhere Trust Common Shares of Beneficial Interest,$15.19,0.445,3.018%,23520606.00,,2016,101,,
GGO^A,The Gabelli Go Anywhere Trust Series A Cumulative Puttable and Callable Preferred Shares,$41.20,0.30,0.733%,,,,250,,
GLDG,GoldMining Inc. Common Shares,$1.67,0.02,1.212%,248382677.00,,,406104,Basic Industries,Precious Metals
GLO,Clough Global Opportunities Fund Common Stock,$12.51,0.02,0.16%,403127394.00,United States,2006,129868,,
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,$15.38,-0.018,-0.117%,203490150.00,United States,2005,45923,,
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,$19.45,0.07,0.361%,104516092.00,United States,2004,5166,,
GLU^A,The Gabelli Global Utility and Income Trust Series A Cumulative Puttable and Callable Preferred Shares,$44.62,0.00,0.00%,,United States,,10,,
GLU^B,The Gabelli Global Utility and Income Trust Series B Cumulative Puttable and Callable Preferred Shares,$52.42,0.033,0.063%,,United States,,399,,
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,$11.42,0.03,0.263%,96016208.00,United States,2004,32110,,
GOED,1847 Goedeker Inc. Commom Stock,$10.35,-0.60,-5.479%,63250920.00,United States,2020,6211,Consumer Services,Home Furnishings
GORO,Gold Resource Corporation Common Stock,$2.84,-0.01,-0.351%,211407342.00,United States,,850299,Basic Industries,Precious Metals
GPL,Great Panther Mining Limited Ordinary Shares (Canada),$0.7892,-0.0635,-7.447%,279951194.00,Canada,,6621890,Basic Industries,Precious Metals
GRF,Eagle Capital Growth Fund Inc. Common Stock,$8.20,-0.0097,-0.118%,33409432.00,United States,,1875,,
GROY,Gold Royalty Corp. Common Shares,$5.00,0.28,5.932%,0.00,,2021,633213,,
GSAT,Globalstar Inc. Common Stock,$1.61,0.01,0.625%,2701384762.00,United States,2006,11515653,Consumer Services,Telecommunications Equipment
GSS,Golden Star Resources Ltd Common Stock,$3.16,-0.01,-0.315%,351750960.00,United States,,381023,Basic Industries,Precious Metals
GSV,Gold Standard Ventures Corporation Common Stock (Canada),$0.6195,0.0124,2.042%,221456509.00,Canada,,3114024,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
GTE,Gran Tierra Energy Inc. Common Stock,$0.8355,-0.0109,-1.288%,306613090.00,Canada,,6183710,Energy,Oil & Gas Production
HLM^,Hillman Group Capital Trust Preferred Stock,$25.8499,0.0549,0.213%,,United States,,10747,,
HMG,HMG/Courtland Properties Inc. Common Stock,$13.00,0.00,0.00%,13094224.00,United States,,56,Consumer Services,Real Estate Investment Trusts
HNW,Pioneer Diversified High Income Trust Pioneer Diversified High Income Trust Common Shares of Beneficial Interest,$14.77,0.00,0.00%,123075308.00,United States,2007,16461,,
HUSA,Houston American Energy Corporation Common Stock,$2.22,-0.08,-3.478%,20171448.00,United States,,570132,Energy,Oil & Gas Production
HWM^,Howmet Aerospace Inc. $3.75 Preferred Stock,$74.99,1.9067,2.609%,,United States,,3171,,
IAF,Aberdeen Australia Equity Fund Inc Common Stock,$5.76,-0.04,-0.69%,133208646.00,United States,,32102,,
IBIO,iBio Inc. Common Stock,$1.83,0.05,2.809%,395298174.00,United States,,4899429,Health Care,Major Pharmaceuticals
ID,PARTS iD Inc. Class A Common Stock,$6.72,0.59,9.625%,220909638.00,United States,2017,45723,Technology,Advertising
IGC,India Globalization Capital Inc. Common Stock,$1.85,0.01,0.543%,83927698.00,United States,,2286391,Technology,Electronic Components
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,$2.77,0.12,4.528%,25185976.00,United States,,65452,Consumer Services,Real Estate Investment Trusts
IMH,Impac Mortgage Holdings Inc. Common Stock ,$2.33,-0.66,-22.074%,49465567.00,United States,1997,1754717,Consumer Services,Real Estate Investment Trusts
IMO,Imperial Oil Limited Common Stock,$25.84,0.29,1.135%,18968543349.00,Canada,,583241,Energy,Integrated oil Companies
INDO,Indonesia Energy Corporation Limited Ordinary Shares,$7.80,-0.09,-1.141%,57782049.00,,2019,7505,Energy,Oil & Gas Production
INFU,InfuSystems Holdings Inc. Common Stock,$19.75,0.72,3.783%,399679407.00,United States,,83805,Health Care,Medical/Dental Instruments
INS,Intelligent Systems Corporation Common Stock,$39.26,-0.13,-0.33%,350548025.00,United States,1992,44773,Technology,Computer Software: Prepackaged Software
INTT,inTest Corporation Common Stock,$10.38,-0.41,-3.80%,109292297.00,United States,1997,61232,Capital Goods,Electrical Products
INUV,Inuvo Inc.,$1.21,0.05,4.31%,143401218.00,United States,,7656397,Consumer Services,Advertising
IOR,Income Opportunity Realty Investors Inc. Common Stock,$11.9099,0.2686,2.307%,49643012.00,United States,,543,Consumer Services,Real Estate Investment Trusts
ISDR,Issuer Direct Corporation Common Stock,$23.50,0.66,2.89%,88618547.00,United States,,12229,Miscellaneous,Publishing
ISR,IsoRay Inc. Common Stock (DE),$1.26,0.04,3.279%,177911815.00,United States,,3046201,Health Care,Medical/Dental Instruments
ITP,IT Tech Packaging Inc. Common Stock,$0.7229,0.0009,0.125%,71544256.00,China,,4340111,Consumer Durables,Containers/Packaging
ITRG,Integra Resources Corp. Common Shares,$3.12,-0.01,-0.319%,170377512.00,,,35303,Basic Industries,Precious Metals
JOB,GEE Group Inc. Common Stock,$1.73,-0.08,-4.42%,30564123.00,United States,,215614,Technology,Diversified Commercial Services
KIQ,Kelso Technologies Inc Ordinary Shares,$0.9701,-0.0299,-2.99%,52550400.00,Canada,,1265429,Capital Goods,Railroads
KLR,Kaleyra Inc. Common Stock,$17.44,-0.26,-1.469%,528234701.00,United States,2018,195430,Technology,EDP Services
LCTX,Lineage Cell Therapeutics Inc. Common Stock,$2.48,0.14,5.983%,371953741.00,United States,,2535809,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LEU,Centrus Energy Corp. Class A Common Stock,$24.99,0.09,0.361%,306656413.00,United States,2014,34586,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
LGL,LGL Group Inc. (The) Common Stock,$13.80,0.90,6.977%,72578975.00,United States,,14423,Capital Goods,Industrial Machinery/Components
LNG,Cheniere Energy Inc. Common Stock,$75.14,1.07,1.445%,19050175447.00,United States,,1115734,Public Utilities,Oil/Gas Transmission
LODE,Comstock Mining Inc. Common Stock,$4.19,-0.01,-0.238%,158866008.00,United States,,1336796,Basic Industries,Precious Metals
LOV,Spark Networks Inc. American Depositary Shares (each representing one-tenth of an Ordinary Share),$5.78,-0.22,-3.667%,150608766.00,United States,2017,117002,Consumer Services,Other Consumer Services
LSF,Laird Superfood Inc. Common Stock,$37.18,-0.26,-0.694%,329968410.00,,2020,131689,Consumer Non-Durables,Packaged Foods
LXFR,Luxfer Holdings PLC Ordinary Shares,$21.95,0.58,2.714%,606613558.00,United Kingdom,2012,62633,Basic Industries,Major Chemicals
